test_name,start_type,cost,ideal_cost,avg_deviation,run_time,nb_agents
instances/map_3.txt, 0, 50, 50, 1.0, 0.001, 4
instances/map_3.txt, 0, 87, 87, 1.0, 0.006, 5
instances/map_3.txt, 1, 53, 53, 1.0, 0.001, 2
instances/map_3.txt, 1, 82, 81, 1.012, 0.002, 3
instances/map_3.txt, 1, 102, 102, 1.0, 0.001, 4
instances/map_3.txt, 1, 136, 134, 1.014, 0.017, 5
instances/map_3.txt, 2, 51, 51, 1.0, 0.0, 2
instances/map_3.txt, 2, 80, 80, 1.0, 0.001, 3
instances/map_3.txt, 2, 103, 103, 1.0, 0.005, 4
instances/map_3.txt, 2, 133, 132, 1.008, 0.212, 5
instances/map_1.txt, 0, 28, 28, 1.0, 0.0, 2
instances/map_1.txt, 0, 27, 27, 1.0, 0.001, 3
instances/map_1.txt, 0, 45, 41, 1.05, 0.021, 4
instances/map_1.txt, 0, 56, 56, 1.0, 0.003, 5
instances/map_1.txt, 1, 48, 48, 1.0, 0.001, 2
instances/map_1.txt, 1, 69, 69, 1.0, 0.001, 3
instances/map_1.txt, 1, 91, 91, 1.0, 0.001, 4
instances/map_1.txt, 2, 42, 42, 1.0, 0.0, 2
instances/map_1.txt, 2, 68, 68, 1.0, 0.001, 3
instances/map_1.txt, 2, 91, 91, 1.0, 0.002, 4
instances/map_1.txt, 2, 118, 118, 1.0, 0.002, 5
instances/map_2.txt, 0, 22, 22, 1.0, 0.0, 2
instances/map_2.txt, 0, 52, 52, 1.0, 0.0, 3
instances/map_2.txt, 0, 37, 37, 1.0, 0.0, 4
instances/map_2.txt, 0, 36, 36, 1.0, 0.0, 5
instances/map_2.txt, 1, 51, 51, 1.0, 0.0, 2
instances/map_2.txt, 1, 77, 77, 1.0, 0.001, 3
instances/map_2.txt, 1, 107, 107, 1.0, 0.003, 4
instances/map_2.txt, 1, 128, 126, 1.016, 0.455, 5
instances/map_2.txt, 2, 48, 48, 1.0, 0.001, 2
instances/map_2.txt, 2, 76, 76, 1.0, 0.001, 3
instances/map_2.txt, 2, 102, 100, 1.021, 0.072, 4
instances/map_3.txt, 0, 38, 38, 1.0, 0.0, 2
instances/map_3.txt, 0, 40, 40, 1.0, 0.0, 3
instances/map_3.txt, 0, 61, 59, 1.021, 0.008, 4
instances/map_3.txt, 0, 54, 54, 1.0, 0.001, 5
instances/map_3.txt, 1, 53, 53, 1.0, 0.001, 2
instances/map_3.txt, 1, 80, 80, 1.0, 0.001, 3
instances/map_3.txt, 1, 106, 106, 1.0, 0.008, 4
instances/map_3.txt, 1, 131, 129, 1.016, 0.091, 5
instances/map_3.txt, 2, 52, 52, 1.0, 0.001, 2
instances/map_3.txt, 2, 82, 78, 1.049, 0.017, 3
instances/map_3.txt, 2, 107, 107, 1.0, 0.004, 4
instances/map_3.txt, 2, 136, 136, 1.0, 0.002, 5
instances/map_1.txt, 0, 29, 29, 1.0, 0.0, 2
instances/map_1.txt, 0, 26, 26, 1.0, 0.001, 3
instances/map_1.txt, 0, 49, 49, 1.0, 0.002, 4
instances/map_1.txt, 0, 47, 47, 1.0, 0.002, 5
instances/map_1.txt, 1, 54, 54, 1.0, 0.001, 2
instances/map_1.txt, 1, 73, 73, 1.0, 0.0, 3
instances/map_1.txt, 1, 91, 91, 1.0, 0.002, 4
instances/map_1.txt, 1, 117, 117, 1.0, 0.001, 5
instances/map_1.txt, 2, 44, 42, 1.043, 0.005, 2
instances/map_1.txt, 2, 73, 73, 1.0, 0.001, 3
instances/map_1.txt, 2, 89, 89, 1.0, 0.004, 4
instances/map_1.txt, 2, 113, 113, 1.0, 0.005, 5
instances/map_2.txt, 0, 15, 15, 1.0, 0.0, 2
instances/map_2.txt, 0, 21, 21, 1.0, 0.0, 3
instances/map_2.txt, 0, 39, 37, 1.038, 0.023, 4
